Date,Download,Upload
2017-01-22 03:03:01,9.21,11.12
2017-01-22 03:04:01,7.07,10.82
2017-01-22 03:05:02,8,8.09
2017-01-22 03:06:02,7.74,14.83
2017-01-22 03:07:02,4.03,11.36
2017-01-22 03:08:02,3.79,11.89
2017-01-22 03:09:02,6.87,7.5
2017-01-22 03:10:01,4.53,9.41
2017-01-22 03:11:02,8.63,14.65
2017-01-22 03:12:01,5,15.57
2017-01-22 03:13:02,3.45,10.36
2017-01-22 03:14:02,0.21,11.91
2017-01-22 03:15:02,0.14,11.18
2017-01-22 03:16:01,2.38,10.53
2017-01-22 03:17:02,0.6,7.34
2017-01-22 03:18:02,6.67,10.46
2017-01-22 03:19:02,1.85,7.46
2017-01-22 03:20:02,1.99,7.94
2017-01-22 03:21:02,2.06,9.88
2017-01-22 03:22:12,0,0
2017-01-22 03:23:12,0,0
2017-01-22 03:24:42,0,0
2017-01-22 03:25:42,0,0
2017-01-22 03:26:42,0,0
2017-01-22 03:27:42,0,0
2017-01-22 03:28:42,0,0
2017-01-22 03:29:42,0,0
2017-01-22 03:30:42,0,0
2017-01-22 03:31:27,0,0
2017-01-22 03:32:14,0,0
2017-01-22 03:33:02,2.54,10.14
2017-01-22 03:34:02,2.32,8.83
2017-01-22 03:35:01,6.23,8.95
2017-01-22 03:36:02,5.53,5.14
2017-01-22 03:37:02,2.53,6
2017-01-22 03:38:02,2.69,7.48
2017-01-22 03:39:02,1.96,4.33
2017-01-22 03:40:02,3.11,5.5
2017-01-22 03:41:02,7.55,8.72
2017-01-22 03:42:02,5.58,10.28
2017-01-22 03:43:01,7.78,4.87
2017-01-22 03:44:02,6.67,8.81
2017-01-22 03:45:01,4.13,11.08
2017-01-22 03:46:02,6.64,8.23
2017-01-22 03:47:02,6.29,10.31
2017-01-22 03:48:02,5.24,9.08
2017-01-22 03:49:01,8.33,13.19
2017-01-22 03:50:01,7.65,7.6
2017-01-22 03:51:02,5.93,8.6
2017-01-22 03:52:01,4.5,9
2017-01-22 03:53:02,5.93,6.2
2017-01-22 03:54:02,3.1,11.61
2017-01-22 03:55:02,4.46,11.22
2017-01-22 03:56:02,3.45,8.71
2017-01-22 03:57:02,4.12,8.89
2017-01-22 03:58:01,6.46,8.54
2017-01-22 03:59:02,6.62,7.54
2017-01-22 04:00:02,8.95,8.5
2017-01-22 04:01:02,9,13.9
2017-01-22 04:02:02,9.74,10.95
2017-01-22 04:03:01,2.48,11.13
2017-01-22 04:04:02,5.89,4.61
2017-01-22 04:05:02,7.63,11.57
2017-01-22 04:06:02,8.89,13.73
2017-01-22 04:07:01,7.89,13.2
2017-01-22 04:08:01,6.51,9.53
2017-01-22 04:09:02,9.6,7.16
2017-01-22 04:10:02,9.1,11.39
2017-01-22 04:11:02,9.47,8.88
2017-01-22 04:12:01,8.63,12.89
2017-01-22 04:13:02,9.75,17.68
2017-01-22 04:14:02,10,5.84
2017-01-22 04:15:02,9.46,11.15
2017-01-22 04:16:02,9.61,9.02
2017-01-22 04:17:02,10.05,5.73
2017-01-22 04:18:02,9.85,6.87
2017-01-22 04:19:02,9.59,8.01
2017-01-22 04:20:02,8.18,13.07
2017-01-22 04:21:02,8.98,21.65
2017-01-22 04:22:02,8.57,7.27
2017-01-22 04:23:02,9.27,9.75
2017-01-22 04:24:02,9.44,11.22
2017-01-22 04:25:02,9.2,6.37
2017-01-22 04:26:02,7.28,3.6
